Bedrooms,Bathrooms,SquareFootageHouse,Location,Age,PoolQuality,HasPhotovoltaics,HeatingType,HasFiberglass,IsFurnished,DateSinceForSale,HouseColor,PreviousOwnerName,HasFireplace,KitchensQuality,BathroomsQuality,BedroomsQuality,LivingRoomsQuality,SquareFootageGarden,PreviousOwnerRating,HeatingCosts,WindowModelNames,Price
1.0,1.0,47.0,Rural,40.0,None,False,Electric,True,False,2023-04-22,Green,Andreas,False,Good,Excellent,Excellent,Good,6.0,2.42,,AQILZ Aluminum EXY,119.14781
2.0,,98.0,Urban,43.0,None,False,Oil,False,False,2023-09-23,Yellow,,False,Good,Good,Excellent,Good,6.0,4.3,156.8,36P Steel F07GG4 Window,257.16476
2.0,5.0,138.0,Rural,47.0,None,True,Electric,False,True,2023-12-29,Gray,,False,Good,Good,Good,Poor,6.0,2.55,83.4,BLB4L Aluminum 8LBK4 Window,257.40436
1.0,1.0,61.0,Rural,,Good,False,Oil,True,False,2021-02-16,,Andreas,False,Good,Poor,Poor,Good,16.0,3.65,,Wood WAE5MU Window,220.08495
2.0,2.0,88.0,Urban,58.0,None,,Oil Heating,True,True,2022-12-01,Gray,Denis,False,Good,Good,Excellent,Excellent,6.0,1.28,7622.0,Aluminum NPYM5 Window,198.11572
,,83.0,Suburban,65.0,,False,Gas,False,True,2021-09-20,Green,Stefan,False,Good,Poor,Good,Good,14.0,2.2,83.0,G49 Steel H7E,141.99963
1.0,1.0,30.0,Rural,,None,,Gas,False,False,2022-09-30,Yellow,,False,Poor,Good,Good,Good,6.0,3.03,,90GL Aluminum 8I854V,61.91122
1.0,2.0,86.0,Urban,24.0,None,False,Electricity,True,False,2021-03-09,Yellow,Andreas,False,Poor,Poor,Good,Excellent,6.0,2.14,52.2,MPGUJL Wood FTM73A,146.47819
2.0,2.0,106.0,Urban,63.0,,True,Electricity,False,True,2023-09-11,Yellow,Maria,False,Poor,Excellent,Excellent,Excellent,6.0,3.81,63.0,Aluminum M2662I Window,149.38014
3.0,3.0,149.0,Suburbann,50.0,Excellent,,Gas,False,False,2023-04-04,White,,False,Poor,Good,Excellent,Poor,46.0,2.23,,FKGVOY Aluminum A885J,162.61883
2.0,2.0,102.0,Rural,,,False,Gas,False,True,2023-11-16,White,Daniel,False,Poor,Good,Good,Excellent,16.0,1.38,,WUB Aluminum 0ZC48RK,263.51077
1.0,2.0,61.0,Rural,52.0,Excellent,False,Electric,True,True,2021-11-29,Yellow,Maria,False,Good,Good,Good,Good,46.0,3.04,36.6,Wood ETRQGNY,357.01552
1.0,,143.0,Suburban,10.0,Good,True,Oil,True,True,2022-12-08,,Stefan,False,Excellent,Excellent,Good,Good,16.0,4.14,,Steel L84GIE,256.29449
2.0,3.0,124.0,Rural,37.0,,False,Electricity,False,True,2023-07-08,Yellow,,False,Excellent,Poor,Good,Excellent,14.0,4.52,75.0,CA5 Aluminum 1Z0FX Window,273.71422
1.0,,46.0,Rural,47.0,,False,Gas,False,True,2024-02-15,Green,Theresa,False,Excellent,Good,Excellent,Excellent,16.0,2.39,44.0,Steel AOGJ Window,340.31024
,,,,,,,,,,,,,,,,,,,,,,
1.0,,57.0,Rural,44.0,None,False,Oil,True,True,2022-10-08,Yellow,Andreas,False,Good,Good,Good,Good,6.0,4.02,89.6,Wood 0D0V,254.1963
2.0,1.0,95.0,Suburban,36.0,None,False,Oil,False,True,2024-03-25,White,Roman,False,Good,Poor,Good,Good,6.0,3.33,,Wood MQO Window,142.68712
1.0,1.0,51.0,Urban,54.0,,,Oil Heating,False,True,2020-04-02,Green,Laura,False,Good,Good,Good,Excellent,6.0,1.71,84.8,9P23YJ Steel Y8R Window,206.90493
,,134.0,Suburbann,,Poor,True,Electricity,False,False,2020-02-06,White,,False,Poor,Poor,Good,Poor,14.0,2.43,80.4,Wood DGY,99.4823
1.0,2.0,88.0,Suburban,50.0,,False,Electric,False,True,2020-02-27,Green,,False,Good,Poor,Good,Good,16.0,2.71,52.8,K0R Aluminum 2Q6FR1,79.88437
1.0,1.0,37.0,Rural,51.0,None,False,Electricity,True,False,2023-09-07,Yellow,Florian,False,Excellent,Excellent,Excellent,Poor,6.0,2.38,21.0,CY1I Wood 9SN2WP Window,166.2655
,,67.0,Suburban,65.0,,,Electric,True,True,2024-03-17,Green,,False,Excellent,Good,Good,Poor,14.0,2.35,,Wood 453N4,111.06263
5.0,1.0,146.0,Suburban,55.0,None,,Electric,True,True,2020-08-05,White,,False,Good,Poor,Good,Good,6.0,2.29,,PMWJTU Steel 28AJA,166.36268
2.0,2.0,90.0,Suburbann,17.0,Poor,True,Oil,False,True,2022-04-04,Gray,Theresa,False,Poor,Excellent,Good,Excellent,14.0,1.25,,O9EUC Steel LOUKQ Window,188.05449
2.0,2.0,151.0,Rural,14.0,None,,Gas,False,True,2020-12-24,Gray,,False,Poor,Good,Poor,Good,6.0,2.31,149.0,9VXGW2V Wood 0K99GA Window,354.3532
1.0,1.0,28.0,Rural,62.0,,,Electricity,False,True,2023-08-27,Green,,False,Excellent,Excellent,Excellent,Good,46.0,2.07,,Steel 46EWZ3 Window,401.65777
4.0,5.0,143.0,Suburban,45.0,None,,Gas,True,False,2023-12-14,Yellow,Stefan,False,Poor,Good,Excellent,Good,6.0,1.66,144.0,Aluminum R0T3PE4 Window,125.64009
1.0,,120.0,Suburbann,42.0,None,False,Oil,False,False,2021-03-10,Gray,Lukas,False,Good,Excellent,Good,Good,6.0,2.96,193.6,Steel KI52Z Window,156.90169
2.0,2.0,61.0,Urban,67.0,None,False,Oil Heating,True,True,2020-04-06,White,Lukas,False,Poor,Good,Excellent,Good,6.0,1.65,99.2,Aluminum OON3PV,132.4717
1.0,2.0,61.0,Suburban,,None,,Gas,False,True,2022-01-15,Green,Stefan,False,Good,Good,Good,Poor,6.0,2.37,60.0,Aluminum JAN2X Window,55.07227
1.0,,96.0,Rural,63.0,,False,Oil Heating,True,False,2022-10-23,White,Roman,False,Good,Poor,Good,Excellent,16.0,1.85,,Aluminum P4TIRXA,257.99568
1.0,2.0,94.0,Rural,30.0,,True,Gas,False,True,2022-01-07,White,Johanna,False,Good,Good,Good,Good,6.0,1.8,,UMU8XNK Aluminum 9A0 Window,205.17058
1.0,1.0,83.0,Urban,63.0,,False,Electricity,True,True,2023-04-05,Gray,Florian,False,Good,Good,Poor,Good,46.0,1.7,49.8,Steel PSW,323.33082
1.0,1.0,86.0,Rural,52.0,,True,Electric,False,True,2022-12-12,Green,Sandra,False,Poor,Poor,Poor,Good,6.0,3.4,,Steel SF6Y1MM Window,277.9167
2.0,1.0,88.0,Rural,,None,True,Electricity,False,False,2024-03-27,Gray,Andreas,False,Poor,Excellent,Poor,Excellent,6.0,2.5,,Aluminum V6EWCC Window,132.00758
1.0,1.0,42.0,Suburbann,,Poor,False,Electricity,True,False,2020-04-15,Yellow,Martin,False,Good,Good,Poor,Good,14.0,3.79,,O5P22XA Steel SERH Window,90.54936
1.0,1.0,20.0,Urban,45.0,,False,Oil Heating,False,True,2023-04-10,White,Daniel,False,Good,Good,Excellent,Good,16.0,3.85,,Wood OYSC Window,158.23189
1.0,1.0,55.0,Urban,,,False,Electric,True,False,2022-07-29,Green,Lukas,False,Excellent,Poor,Poor,Good,6.0,2.94,,N3EE Aluminum 8LFEQD,62.24981
1.0,,82.0,Rural,50.0,Good,True,Gas,True,True,2020-08-20,Green,Laura,False,Good,Excellent,Poor,Good,16.0,2.83,80.0,J5MXG8Q Steel 5SV Window,364.93799
1.0,2.0,121.0,Suburban,67.0,,False,Electricity,False,True,2022-08-18,White,,False,Good,Good,Good,Excellent,14.0,3.01,,Wood 6R5SJT Window,133.82188
2.0,2.0,132.0,Urban,,None,False,Gas,False,False,2024-03-12,,Stefan,False,Good,Excellent,Excellent,Poor,6.0,1.63,,Aluminum 9DYE Window,164.47945
2.0,5.0,142.0,Urban,46.0,,True,Gas,True,False,2024-02-20,Green,,False,Excellent,Excellent,Poor,Excellent,6.0,1.69,141.0,Steel 6LNZP,299.01165
2.0,2.0,70.0,Urban,46.0,,False,Electricity,False,True,2022-06-08,White,,False,Poor,Poor,Good,Poor,6.0,3.34,,Steel MWWCTQ,192.13082
4.0,3.0,130.0,Suburban,66.0,None,,Oil,False,True,2020-10-21,Green,Natalie,False,Excellent,Excellent,Poor,Excellent,6.0,2.57,209.6,Steel LLY,207.46709
1.0,1.0,55.0,Urban,56.0,Poor,False,Electricity,True,True,2020-08-31,Yellow,,False,Excellent,Good,Good,Good,14.0,1.58,-703.0,WQ9K Wood J53QA33 Window,162.14175
1.0,1.0,49.0,Suburbann,63.0,,True,Gas,False,True,2020-10-29,Green,,False,Good,Excellent,Poor,Good,14.0,2.53,,TYP Steel 8FIZO,118.94339
1.0,1.0,75.0,Suburbann,54.0,None,False,Gas,False,True,2021-05-26,Green,,False,Excellent,Poor,Good,Good,6.0,2.42,,Aluminum JDSNGM,68.22623
1.0,1.0,67.0,Urban,48.0,,False,Oil,False,True,2023-11-18,Yellow,,False,Good,Good,Good,Poor,6.0,1.52,105.6,0E5MA6 Steel QCH6T,236.47554
2.0,3.0,111.0,Suburbann,43.0,,False,Oil Heating,False,True,2022-10-28,,,False,Good,Good,Excellent,Good,46.0,2.58,179.2,Steel UGMYYQM,258.63502
2.0,2.0,83.0,Rural,,Good,,Electric,True,True,2024-01-07,Gray,Maria,False,Excellent,Excellent,Excellent,Good,16.0,1.14,,ATSJ Steel MSKNHSZ,393.80277
1.0,2.0,129.0,Urban,54.0,None,,Electricity,False,False,2023-10-10,Gray,,False,Poor,Good,Good,Excellent,6.0,1.07,76.8,5UCL8L Aluminum BYRB6,131.19271
1.0,1.0,20.0,Suburbann,68.0,Poor,,Electric,True,True,2023-09-06,Gray,,False,Excellent,Excellent,Poor,Good,14.0,1.54,,8MRUXH Steel FIM,115.71475
1.0,3.0,111.0,Urban,39.0,None,False,Electric,False,True,2021-12-06,White,,False,Poor,Poor,Good,Good,6.0,3.17,66.6,WCVDMMZ Steel OXD Window,235.31797
1.0,1.0,26.0,Urban,52.0,None,False,Electricity,False,False,2022-01-05,White,Andreas,False,Good,Good,Good,Poor,6.0,3.35,,ROTWH9 Steel 9ML1 Window,126.47319
1.0,1.0,97.0,Suburban,18.0,None,False,Gas,False,True,2020-01-31,Green,Maria,False,Good,Good,Good,Excellent,6.0,2.11,,Aluminum Z1D Window,89.34756
1.0,1.0,61.0,Rural,50.0,,False,Gas,False,False,2020-08-09,Yellow,Theresa,False,Good,Excellent,Excellent,Poor,6.0,3.71,59.0,Aluminum YA4Y Window,117.13648
1.0,2.0,139.0,Rural,37.0,None,False,Gas,True,True,2022-05-24,Gray,,False,Excellent,Excellent,Good,Poor,6.0,2.45,140.0,X9T Steel 2H9FGB,449.08449
2.0,3.0,102.0,Suburban,24.0,,False,Gas,False,True,2023-06-24,White,,False,Excellent,Poor,Good,Good,6.0,3.12,,REP6ZYN Wood 66J1 Window,135.0304
2.0,2.0,95.0,Urban,38.0,None,True,Oil,False,False,2024-01-19,White,,False,Good,Excellent,Excellent,Poor,6.0,1.88,,Aluminum S7PQ,167.73093
2.0,,64.0,Rural,,,,Oil,True,True,2020-12-10,Yellow,Theresa,False,Poor,Good,Excellent,Poor,6.0,1.68,,WQXQ Aluminum 19AB,183.00111
3.0,,140.0,Urban,,Good,False,Gas,True,True,2020-08-18,White,Laura,False,Poor,Good,Good,Good,16.0,2.61,5808.0,JY1 Steel Y7E,324.3867
1.0,1.0,97.0,Urban,43.0,,True,Electric,False,True,2023-12-30,White,Daniel,False,Good,Good,Good,Good,6.0,3.4,,XFSJR3E Aluminum Y0X,129.50189
1.0,1.0,78.0,Urban,24.0,None,,Electric,True,False,2021-08-05,Yellow,Theresa,False,Good,Good,Good,Poor,6.0,1.27,46.2,9FBR9 Wood Y7RCSA6,136.08288
,1.0,60.0,Suburban,69.0,None,,Gas,False,True,2022-02-01,Yellow,,False,Good,Good,Poor,Poor,6.0,1.6,,7Y9E Aluminum CMK Window,48.90793
,,58.0,Rural,35.0,None,False,Oil,False,True,2023-11-29,Gray,,False,Poor,Poor,Good,Excellent,6.0,1.45,,R6U Steel BM8FP8W,316.54506
2.0,3.0,126.0,Suburban,64.0,Good,,Oil Heating,True,True,2022-10-11,White,Laura,False,Excellent,Poor,Excellent,Excellent,16.0,2.1,203.2,6QK148U Aluminum XTQ Window,171.87381
5.0,,147.0,Urban,52.0,,,Electric,False,True,2020-04-05,Yellow,Florian,False,Excellent,Excellent,Poor,Good,16.0,3.46,87.6,Aluminum Y1L9 Window,4414.602
1.0,1.0,53.0,Suburban,58.0,Poor,,Oil,False,True,2023-04-09,Green,,False,Good,Good,Poor,Excellent,14.0,2.3,,Wood Q4BL79,110.70012
1.0,1.0,41.0,Urban,70.0,None,True,Electricity,False,True,2023-08-20,White,Roman,False,Excellent,Poor,Good,Good,6.0,3.15,,Steel ZZB,173.23775
2.0,1.0,71.0,Urban,13.0,,True,Electric,True,False,2023-12-02,Gray,,False,Poor,Good,Good,Good,6.0,2.85,,FACV Wood BF6IW8Q,146.63691
3.0,1.0,116.0,Urban,-2.0,None,True,Oil,True,True,2024-01-27,Gray,Laura,False,Good,Poor,Poor,Excellent,6.0,2.59,184.0,O91J Aluminum FX20XIH,229.05636
2.0,2.0,90.0,Rural,20.0,None,False,Oil Heating,True,True,2023-07-14,Green,Natalie,False,Good,Poor,Good,Excellent,6.0,2.72,145.6,7RJCV Steel 0AHU,432.61927
1.0,1.0,93.0,Suburban,24.0,Excellent,,Oil,False,True,2021-07-07,White,,False,Excellent,Good,Poor,Good,46.0,1.75,,RSM Aluminum PN2 Window,3281.9426
1.0,2.0,98.0,Rural,,None,False,Gas,False,False,2020-03-27,Green,Martin,False,Poor,Excellent,Excellent,Good,6.0,3.39,,Wood IBZ43,221.86337
1.0,1.0,59.0,Urban,57.0,,False,Gas,False,False,2022-06-30,Yellow,Stefan,False,Good,Good,Good,Poor,16.0,4.2,,Aluminum 4WY52P,101.6956
1.0,,119.0,Rural,56.0,Good,,Gas,False,True,2022-01-04,White,Andreas,False,Poor,Good,Good,Good,16.0,3.02,119.0,C8J5W1 Steel QTKKT,420.41889
1.0,1.0,24.0,Rural,42.0,None,,Gas,True,True,2021-04-29,White,Maria,False,Poor,Poor,Good,Excellent,6.0,2.98,25.0,9FIY7Q Wood WFU1D Window,164.34199
1.0,1.0,76.0,Suburban,44.0,Good,False,Oil,False,True,2022-10-07,Yellow,Roman,False,Excellent,Good,Good,Good,16.0,4.14,123.2,Aluminum 16DPM,111.35587
2.0,3.0,122.0,Rural,47.0,None,,Electricity,False,True,2020-12-26,Green,,False,Good,Good,Excellent,Good,6.0,2.93,71.4,Steel TUT6,357.69749
2.0,4.0,137.0,Urban,57.0,None,False,Oil Heating,True,True,2020-12-12,Gray,,False,Good,Poor,Good,Excellent,6.0,3.02,,CDI Wood UTN Window,6177.448399999999
,2.0,116.0,Suburbann,33.0,,False,Oil,False,True,2022-01-30,Green,,False,Good,Excellent,Good,Excellent,16.0,2.77,185.6,PJIRWB Wood K2MI Window,182.82843
1.0,1.0,43.0,Rural,,Good,,Gas,False,True,2020-02-17,Gray,Denis,False,Good,Excellent,Excellent,Good,16.0,2.39,,1JQV Steel GCXEWWA Window,281.32158
2.0,1.0,144.0,Suburbann,25.0,None,False,Gas,False,False,2020-01-17,White,Natalie,False,Excellent,Good,Good,Good,6.0,3.48,,Aluminum E8WEZ,100.83972
3.0,,107.0,Rural,48.0,Excellent,,Gas,False,True,2023-06-20,White,,False,Good,Excellent,Good,Good,46.0,2.34,107.0,Wood U8ADNV Window,479.60332
,2.0,65.0,Rural,15.0,Poor,True,Gas,False,True,2024-03-16,Gray,Johanna,False,Poor,Excellent,Good,Good,14.0,3.0,65.0,Aluminum TMUWWN Window,207.32179
1.0,,55.0,Suburban,67.0,,,Electricity,True,True,2024-03-01,Green,,False,Good,Good,Good,Excellent,6.0,1.83,,ZT5 Wood F249CX,91.65324
1.0,1.0,22.0,Rural,57.0,,,Electricity,False,True,2022-03-26,Yellow,Theresa,False,Excellent,Poor,Excellent,Poor,6.0,3.19,13.2,Wood CPDIVV,141.84538
2.0,,120.0,Suburban,,,True,Gas,False,True,2021-03-19,White,,False,Good,Excellent,Good,Excellent,6.0,1.49,,ZMQRC Aluminum 2CA,2138.0926
1.0,,33.0,Rural,-16.0,None,True,Electric,False,True,2024-02-06,Yellow,Maria,False,Poor,Excellent,Good,Excellent,6.0,2.92,,ZQZS Wood 1WMCUS,173.001
,,40.0,Suburbann,57.0,None,,Gas,True,False,2023-04-18,Gray,,False,Good,Good,Poor,Good,6.0,1.35,,Aluminum 0COLTS,41.37351
1.0,4.0,145.0,Rural,3.0,,False,Gas,False,True,2023-12-18,Yellow,Maria,False,Excellent,Good,Good,Good,6.0,2.56,145.0,CI9JZ Steel PCXFBCD Window,486.07042
1.0,1.0,49.0,Suburban,,None,False,Electric,False,True,2020-11-25,White,Theresa,False,Good,Good,Excellent,Good,6.0,1.31,29.4,HX3JU Aluminum K6OWTNA,42.95066
3.0,4.0,148.0,Urban,14.0,None,False,Gas,False,True,2020-12-02,Gray,Laura,False,Good,Good,Good,Good,6.0,1.5,,TTH6 Wood QXQ1LR8,275.77505
2.0,,122.0,Suburbann,45.0,,True,Oil,False,True,2023-01-08,Green,Stefan,False,Good,Poor,Poor,Poor,16.0,2.38,,Wood B9R,172.52638
2.0,2.0,119.0,Urban,42.0,,False,Electric,False,False,2021-01-28,Green,Florian,False,Excellent,Good,Excellent,Good,16.0,2.21,,Aluminum DMYT9 Window,156.40266
1.0,1.0,39.0,Rural,64.0,,True,Oil,True,False,2022-05-17,Green,Theresa,False,Good,Good,Good,Good,6.0,1.66,60.8,Steel ZS6W50,232.50046
1.0,1.0,118.0,Rural,,,,Electric,True,False,2022-03-08,Gray,,False,Good,Good,Good,Good,16.0,1.3,70.2,Wood QI96FV6,261.09034
2.0,3.0,109.0,Urban,38.0,None,False,Gas,False,True,2023-03-29,Green,Roman,False,Excellent,Good,Poor,Good,6.0,2.3,108.0,PG6 Aluminum NFB1H,176.28976
1.0,2.0,91.0,Urban,,,,Gas,False,True,2022-09-29,Gray,,False,Excellent,Poor,Poor,Good,6.0,2.09,91.0,KQPAXZ Steel MYD Window,232.83473
4.0,,133.0,Suburbann,65.0,Good,False,Oil,False,True,2021-08-30,Gray,,False,Good,Excellent,Good,Good,16.0,3.06,212.8,Wood V5G6,197.74485
3.0,,125.0,Rural,,Excellent,False,Oil,False,True,2020-04-04,White,,False,Good,Poor,Excellent,Good,46.0,2.58,,Aluminum THB1T Window,417.38406
1.0,1.0,57.0,Urban,,Good,False,Oil Heating,False,False,2021-08-26,Gray,,False,Good,Good,Excellent,Poor,16.0,2.75,,Wood ACFLTBP,152.4031
1.0,,66.0,Urban,,,False,Electricity,False,False,2021-02-11,Yellow,Lukas,False,Good,Good,Good,Good,16.0,2.57,39.6,Aluminum 70TBD Window,95.72486
3.0,1.0,109.0,Suburbann,56.0,None,False,Electricity,False,False,2021-05-09,Gray,Theresa,False,Good,Excellent,Poor,Good,6.0,2.0,,Aluminum PS4 Window,67.77262
2.0,1.0,80.0,Rural,43.0,None,False,Electricity,True,True,2022-03-09,Gray,Andreas,False,Excellent,Poor,Good,Good,6.0,1.75,,Steel 1XFJK9B,316.28369
1.0,5.0,148.0,Suburban,26.0,Poor,False,Electric,True,True,2023-11-24,White,Laura,False,Excellent,Good,Poor,Excellent,14.0,2.81,,Wood 8ADEM,176.04793
2.0,,129.0,Urban,,Good,,Gas,True,True,2020-12-18,Green,,False,Good,Poor,Good,Excellent,16.0,1.71,,Wood GEIVR7X Window,263.48257
2.0,4.0,134.0,Urban,35.0,Good,False,Oil Heating,True,True,2023-04-30,Green,Denis,False,Good,Excellent,Good,Good,16.0,1.97,,Steel 95CGWH Window,413.91325
1.0,1.0,46.0,Urban,,None,True,Gas,False,True,2022-02-18,Yellow,Lukas,False,Excellent,Excellent,Good,Good,6.0,4.54,45.0,SW2V1V4 Wood DN0Y Window,131.35081
1.0,1.0,44.0,Suburban,37.0,None,,Gas,True,False,2023-02-18,Green,Stefan,False,Good,Excellent,Excellent,Good,6.0,2.36,45.0,Aluminum K76,56.12531
1.0,1.0,36.0,Rural,59.0,Good,False,Gas,True,True,2020-06-19,,,False,Poor,Good,Good,Good,16.0,4.26,,X9J Wood 7X1UWB8,210.18379
1.0,1.0,89.0,Rural,47.0,,False,Gas,False,True,2023-07-04,Green,Andreas,False,Good,Poor,Excellent,Good,14.0,2.37,,Steel DJN Window,369.94703
1.0,1.0,33.0,Rural,40.0,None,,Gas,False,False,2020-04-09,Gray,Roman,False,Good,Good,Excellent,Good,6.0,1.39,32.0,VO4WMVI Steel 61KLJ3 Window,199.22281
2.0,2.0,69.0,Urban,36.0,,True,Electricity,False,True,2023-03-12,Yellow,Stefan,False,Good,Good,Good,Good,6.0,1.3,41.4,Aluminum OO6G Window,109.66716
1.0,1.0,66.0,Urban,62.0,None,True,Oil,True,True,2024-01-03,White,,False,Poor,Excellent,Excellent,Excellent,6.0,3.89,107.2,MGZW1H Aluminum EVP Window,157.02726
1.0,1.0,35.0,Rural,52.0,None,False,Electric,False,True,2021-06-06,Yellow,,False,Good,Good,Good,Good,6.0,2.52,20.4,Aluminum FUZUT Window,85.22168
2.0,5.0,144.0,Rural,43.0,None,False,Electricity,True,False,2021-03-10,Gray,Laura,False,Excellent,Good,Poor,Excellent,6.0,1.44,,Wood G1A4N,290.83335
3.0,3.0,112.0,Rural,40.0,Excellent,False,Electricity,True,True,2022-06-16,White,,False,Excellent,Good,Good,Poor,46.0,1.85,68.4,UX0I Aluminum 1C9IEPD,381.84218
1.0,1.0,83.0,Suburbann,48.0,,,Oil Heating,True,True,2023-05-13,Green,Natalie,False,Excellent,Excellent,Good,Good,14.0,3.25,134.4,Steel JSX8K,187.1327
