Bedrooms,Bathrooms,SquareFootageHouse,Location_Rural,Location_Suburban,Location_Urban,Age,PoolQuality,HeatingType_Electricity,HeatingType_Gas,HeatingType_Oil,HasFiberglass,IsFurnished,DateSinceForSale,HouseColor_Gray,HouseColor_Green,HouseColor_White,HouseColor_Yellow,HasFireplace,KitchensQuality,BathroomsQuality,BedroomsQuality,LivingRoomsQuality,SquareFootageGarden,PreviousOwnerRating,HeatingCosts,WindowModelNames_Aluminum,WindowModelNames_Steel,WindowModelNames_Wood,Price
2,1,95.0,0.0,1.0,0.0,36.0,0,0.0,0.0,1.0,0,1,0,0.0,0.0,1.0,0.0,0,2,1,2,2,6,3.33,151.21059247671457,0.0,0.0,1.0,142.68712
1,1,51.0,0.0,0.0,1.0,54.0,0,0.0,0.0,1.0,0,1,47,0.0,1.0,0.0,0.0,0,2,2,2,3,6,1.71,84.8,0.0,1.0,0.0,206.90493
3,4,134.0,0.0,1.0,0.0,37.0,1,1.0,0.0,0.0,0,0,49,0.0,0.0,1.0,0.0,0,1,1,2,1,14,2.43,80.4,0.0,0.0,1.0,99.4823
1,2,88.0,0.0,1.0,0.0,50.0,2,1.0,0.0,0.0,0,1,49,0.0,1.0,0.0,0.0,0,2,1,2,2,16,2.71,52.8,1.0,0.0,0.0,79.88437
1,1,37.0,1.0,0.0,0.0,51.0,0,1.0,0.0,0.0,1,0,6,0.0,0.0,0.0,1.0,0,3,3,3,1,6,2.38,21.0,0.0,0.0,1.0,166.2655
1,1,67.0,0.0,1.0,0.0,65.0,1,1.0,0.0,0.0,1,1,0,0.0,1.0,0.0,0.0,0,3,2,2,1,14,2.35,50.777639010396456,0.0,0.0,1.0,111.06263
5,1,146.0,0.0,1.0,0.0,55.0,0,1.0,0.0,0.0,1,1,43,0.0,0.0,1.0,0.0,0,2,1,2,2,6,2.29,112.33049394741913,0.0,1.0,0.0,166.36268
2,2,90.0,0.0,1.0,0.0,17.0,1,0.0,0.0,1.0,0,1,23,1.0,0.0,0.0,0.0,0,1,3,2,3,14,1.25,143.26725525866632,0.0,1.0,0.0,188.05449
2,2,151.0,1.0,0.0,0.0,14.0,0,0.0,1.0,0.0,0,1,39,1.0,0.0,0.0,0.0,0,1,2,1,2,6,2.31,149.0,0.0,0.0,1.0,354.3532
1,1,28.0,1.0,0.0,0.0,62.0,3,1.0,0.0,0.0,0,1,7,0.0,1.0,0.0,0.0,0,3,3,3,2,46,2.07,28.313406538248046,0.0,1.0,0.0,401.65777
4,5,143.0,0.0,1.0,0.0,45.0,0,0.0,1.0,0.0,1,0,3,0.0,0.0,0.0,1.0,0,1,2,3,2,6,1.66,144.0,1.0,0.0,0.0,125.64009
1,3,120.0,0.0,1.0,0.0,42.0,0,0.0,0.0,1.0,0,0,36,1.0,0.0,0.0,0.0,0,2,3,2,2,6,2.96,193.6,0.0,1.0,0.0,156.90169
2,2,61.0,0.0,0.0,1.0,67.0,0,0.0,0.0,1.0,1,1,47,0.0,0.0,1.0,0.0,0,1,2,3,2,6,1.65,99.2,1.0,0.0,0.0,132.4717
1,2,61.0,0.0,1.0,0.0,42.0,0,0.0,1.0,0.0,0,1,26,0.0,1.0,0.0,0.0,0,2,2,2,1,6,2.37,60.0,1.0,0.0,0.0,55.07227
1,1,96.0,1.0,0.0,0.0,63.0,2,0.0,0.0,1.0,1,0,17,0.0,0.0,1.0,0.0,0,2,1,2,3,16,1.85,152.9260687517815,1.0,0.0,0.0,257.99568
1,2,94.0,1.0,0.0,0.0,30.0,0,0.0,1.0,0.0,0,1,26,0.0,0.0,1.0,0.0,0,2,2,2,2,6,1.8,74.73648630746075,1.0,0.0,0.0,205.17058
1,1,83.0,0.0,0.0,1.0,63.0,3,1.0,0.0,0.0,1,1,11,1.0,0.0,0.0,0.0,0,2,2,1,2,46,1.7,49.8,0.0,1.0,0.0,323.33082
1,1,86.0,1.0,0.0,0.0,52.0,0,1.0,0.0,0.0,0,1,15,0.0,1.0,0.0,0.0,0,1,1,1,2,6,3.4,71.54054832743572,0.0,1.0,0.0,277.9167
2,1,88.0,1.0,0.0,0.0,45.0,0,1.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0,1,3,1,3,6,2.5,67.11931519607711,1.0,0.0,0.0,132.00758
1,1,42.0,0.0,1.0,0.0,36.0,1,1.0,0.0,0.0,1,0,47,0.0,0.0,0.0,1.0,0,2,2,1,2,14,3.79,31.812260361719357,0.0,1.0,0.0,90.54936
1,1,20.0,0.0,0.0,1.0,45.0,2,0.0,0.0,1.0,0,1,11,0.0,0.0,1.0,0.0,0,2,2,3,2,16,3.85,32.23213380814383,0.0,0.0,1.0,158.23189
1,1,55.0,0.0,0.0,1.0,33.0,0,1.0,0.0,0.0,1,0,20,0.0,1.0,0.0,0.0,0,3,1,1,2,6,2.94,40.447603425514906,1.0,0.0,0.0,62.24981
1,1,82.0,1.0,0.0,0.0,50.0,2,0.0,1.0,0.0,1,1,43,0.0,1.0,0.0,0.0,0,2,3,1,2,16,2.83,80.0,0.0,1.0,0.0,364.93799
1,2,121.0,0.0,1.0,0.0,67.0,1,1.0,0.0,0.0,0,1,19,0.0,0.0,1.0,0.0,0,2,2,2,3,14,3.01,91.76378104158111,0.0,0.0,1.0,133.82188
2,2,132.0,0.0,0.0,1.0,45.0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0,2,3,3,1,6,1.63,101.65422910216765,1.0,0.0,0.0,164.47945
2,5,142.0,0.0,0.0,1.0,46.0,0,0.0,1.0,0.0,1,0,1,0.0,1.0,0.0,0.0,0,3,3,1,3,6,1.69,141.0,0.0,1.0,0.0,299.01165
2,2,70.0,0.0,0.0,1.0,46.0,0,1.0,0.0,0.0,0,1,21,0.0,0.0,1.0,0.0,0,1,1,2,1,6,3.34,55.85010002959165,0.0,1.0,0.0,192.13082
4,3,130.0,0.0,1.0,0.0,66.0,0,0.0,0.0,1.0,0,1,41,0.0,1.0,0.0,0.0,0,3,3,1,3,6,2.57,209.6,0.0,1.0,0.0,207.46709
1,1,55.0,0.0,0.0,1.0,56.0,1,1.0,0.0,0.0,1,1,43,0.0,0.0,0.0,1.0,0,3,2,2,2,14,1.58,43.48539342624159,0.0,0.0,1.0,162.14175
1,1,49.0,0.0,1.0,0.0,63.0,1,0.0,1.0,0.0,0,1,41,0.0,1.0,0.0,0.0,0,2,3,1,2,14,2.53,37.73351088036899,0.0,1.0,0.0,118.94339
1,1,75.0,0.0,1.0,0.0,54.0,0,0.0,1.0,0.0,0,1,34,0.0,1.0,0.0,0.0,0,3,1,2,2,6,2.42,55.093223948359515,1.0,0.0,0.0,68.22623
1,1,67.0,0.0,0.0,1.0,48.0,0,0.0,0.0,1.0,0,1,4,0.0,0.0,0.0,1.0,0,2,2,2,1,6,1.52,105.6,0.0,1.0,0.0,236.47554
2,3,111.0,0.0,1.0,0.0,43.0,3,0.0,0.0,1.0,0,1,17,1.0,0.0,0.0,0.0,0,2,2,3,2,46,2.58,179.2,0.0,1.0,0.0,258.63502
2,2,83.0,1.0,0.0,0.0,46.0,2,1.0,0.0,0.0,1,1,2,1.0,0.0,0.0,0.0,0,3,3,3,2,16,1.14,73.7463588968178,0.0,1.0,0.0,393.80277
1,2,129.0,0.0,0.0,1.0,54.0,0,1.0,0.0,0.0,0,0,5,1.0,0.0,0.0,0.0,0,1,2,2,3,6,1.07,76.8,1.0,0.0,0.0,131.19271
1,1,20.0,0.0,1.0,0.0,68.0,1,1.0,0.0,0.0,1,1,6,1.0,0.0,0.0,0.0,0,3,3,1,2,14,1.54,16.2208588543327,0.0,1.0,0.0,115.71475
1,3,111.0,0.0,0.0,1.0,39.0,0,1.0,0.0,0.0,0,1,27,0.0,0.0,1.0,0.0,0,1,1,2,2,6,3.17,66.6,0.0,1.0,0.0,235.31797
1,1,26.0,0.0,0.0,1.0,52.0,0,1.0,0.0,0.0,0,0,26,0.0,0.0,1.0,0.0,0,2,2,2,1,6,3.35,20.878386132754766,0.0,1.0,0.0,126.47319
1,1,97.0,0.0,1.0,0.0,18.0,0,0.0,1.0,0.0,0,1,50,0.0,1.0,0.0,0.0,0,2,2,2,3,6,2.11,71.93447679654513,1.0,0.0,0.0,89.34756
1,1,61.0,1.0,0.0,0.0,50.0,0,0.0,1.0,0.0,0,0,43,0.0,0.0,0.0,1.0,0,2,3,3,1,6,3.71,59.0,1.0,0.0,0.0,117.13648
1,2,139.0,1.0,0.0,0.0,37.0,0,0.0,1.0,0.0,1,1,22,1.0,0.0,0.0,0.0,0,3,3,2,1,6,2.45,140.0,0.0,1.0,0.0,449.08449
2,3,102.0,0.0,1.0,0.0,24.0,0,0.0,1.0,0.0,0,1,9,0.0,0.0,1.0,0.0,0,3,1,2,2,6,3.12,77.67276371182119,0.0,0.0,1.0,135.0304
2,2,95.0,0.0,0.0,1.0,38.0,0,0.0,0.0,1.0,0,0,2,0.0,0.0,1.0,0.0,0,2,3,3,1,6,1.88,151.23154225859844,1.0,0.0,0.0,167.73093
2,1,64.0,1.0,0.0,0.0,53.0,0,0.0,0.0,1.0,1,1,39,0.0,0.0,0.0,1.0,0,1,2,3,1,6,1.68,101.81130772992735,1.0,0.0,0.0,183.00111
3,5,140.0,0.0,0.0,1.0,38.0,2,0.0,1.0,0.0,1,1,43,0.0,0.0,1.0,0.0,0,1,2,2,2,16,2.61,116.97637606172727,0.0,1.0,0.0,324.3867
1,1,97.0,0.0,0.0,1.0,43.0,0,1.0,0.0,0.0,0,1,3,0.0,0.0,1.0,0.0,0,2,2,2,2,6,3.4,73.70441175602113,1.0,0.0,0.0,129.50189
1,1,78.0,0.0,0.0,1.0,24.0,0,1.0,0.0,0.0,1,0,31,0.0,0.0,0.0,1.0,0,2,2,2,1,6,1.27,46.2,0.0,0.0,1.0,136.08288
1,1,60.0,0.0,1.0,0.0,69.0,0,0.0,1.0,0.0,0,1,25,0.0,0.0,0.0,1.0,0,2,2,1,1,6,1.6,43.62640235719514,1.0,0.0,0.0,48.90793
1,1,58.0,1.0,0.0,0.0,35.0,0,0.0,0.0,1.0,0,1,4,1.0,0.0,0.0,0.0,0,1,1,2,3,6,1.45,90.74741125217955,0.0,1.0,0.0,316.54506
2,3,126.0,0.0,1.0,0.0,64.0,2,0.0,0.0,1.0,1,1,17,0.0,0.0,1.0,0.0,0,3,1,3,3,16,2.1,203.2,1.0,0.0,0.0,171.87381
5,5,147.0,0.0,0.0,1.0,52.0,2,1.0,0.0,0.0,0,1,47,0.0,0.0,0.0,1.0,0,3,3,1,2,16,3.46,87.6,1.0,0.0,0.0,164.34112
1,1,53.0,0.0,1.0,0.0,58.0,1,0.0,0.0,1.0,0,1,11,0.0,1.0,0.0,0.0,0,2,2,1,3,14,2.3,85.19825837257034,0.0,0.0,1.0,110.70012
1,1,41.0,0.0,0.0,1.0,70.0,0,1.0,0.0,0.0,0,1,7,0.0,0.0,1.0,0.0,0,3,1,2,2,6,3.15,33.21970348636539,0.0,1.0,0.0,173.23775
2,1,71.0,0.0,0.0,1.0,13.0,0,1.0,0.0,0.0,1,0,3,1.0,0.0,0.0,0.0,0,1,2,2,2,6,2.85,54.99323753599895,0.0,0.0,1.0,146.63691
3,1,116.0,0.0,0.0,1.0,50.0,0,0.0,0.0,1.0,1,1,2,1.0,0.0,0.0,0.0,0,2,1,1,3,6,2.59,184.0,1.0,0.0,0.0,229.05636
2,2,90.0,1.0,0.0,0.0,20.0,0,0.0,0.0,1.0,1,1,8,0.0,1.0,0.0,0.0,0,2,1,2,3,6,2.72,145.6,0.0,1.0,0.0,432.61927
1,1,93.0,0.0,1.0,0.0,24.0,3,0.0,0.0,1.0,0,1,32,0.0,0.0,1.0,0.0,0,3,2,1,2,46,1.75,88.53333333333333,1.0,0.0,0.0,169.34292
1,2,98.0,1.0,0.0,0.0,61.0,0,0.0,1.0,0.0,0,0,48,0.0,1.0,0.0,0.0,0,1,3,3,2,6,3.39,78.54873950714712,0.0,0.0,1.0,221.86337
1,1,59.0,0.0,0.0,1.0,57.0,2,0.0,1.0,0.0,0,0,21,0.0,0.0,0.0,1.0,0,2,2,2,1,16,4.2,44.583520672727026,1.0,0.0,0.0,101.6956
1,3,119.0,1.0,0.0,0.0,56.0,2,0.0,1.0,0.0,0,1,26,0.0,0.0,1.0,0.0,0,1,2,2,2,16,3.02,119.0,0.0,1.0,0.0,420.41889
1,1,24.0,1.0,0.0,0.0,42.0,0,0.0,1.0,0.0,1,1,35,0.0,0.0,1.0,0.0,0,1,1,2,3,6,2.98,25.0,0.0,0.0,1.0,164.34199
1,1,76.0,0.0,1.0,0.0,44.0,2,0.0,0.0,1.0,0,1,17,0.0,0.0,0.0,1.0,0,3,2,2,2,16,4.14,123.2,1.0,0.0,0.0,111.35587
2,3,122.0,1.0,0.0,0.0,47.0,0,1.0,0.0,0.0,0,1,39,0.0,1.0,0.0,0.0,0,2,2,3,2,6,2.93,71.4,0.0,1.0,0.0,357.69749
2,4,137.0,0.0,0.0,1.0,57.0,0,0.0,0.0,1.0,1,1,39,1.0,0.0,0.0,0.0,0,2,1,2,3,6,3.02,129.14715858781918,0.0,0.0,1.0,266.4133966666667
2,2,116.0,0.0,1.0,0.0,33.0,2,0.0,0.0,1.0,0,1,26,0.0,1.0,0.0,0.0,0,2,3,2,3,16,2.77,185.6,0.0,0.0,1.0,182.82843
1,1,43.0,1.0,0.0,0.0,50.0,2,0.0,1.0,0.0,0,1,49,1.0,0.0,0.0,0.0,0,2,3,3,2,16,2.39,37.59927883264162,0.0,1.0,0.0,281.32158
2,1,144.0,0.0,1.0,0.0,25.0,0,0.0,1.0,0.0,0,0,50,0.0,0.0,1.0,0.0,0,3,2,2,2,6,3.48,106.92994486717826,1.0,0.0,0.0,100.83972
3,2,107.0,1.0,0.0,0.0,48.0,3,0.0,1.0,0.0,0,1,9,0.0,0.0,1.0,0.0,0,2,3,2,2,46,2.34,107.0,0.0,0.0,1.0,479.60332
1,2,65.0,1.0,0.0,0.0,15.0,1,0.0,1.0,0.0,0,1,0,1.0,0.0,0.0,0.0,0,1,3,2,2,14,3.0,65.0,1.0,0.0,0.0,207.32179
1,1,55.0,0.0,1.0,0.0,67.0,0,1.0,0.0,0.0,1,1,0,0.0,1.0,0.0,0.0,0,2,2,2,3,6,1.83,41.34178413359873,0.0,0.0,1.0,91.65324
1,1,22.0,1.0,0.0,0.0,57.0,0,1.0,0.0,0.0,0,1,24,0.0,0.0,0.0,1.0,0,3,1,3,1,6,3.19,13.2,0.0,0.0,1.0,141.84538
2,3,120.0,0.0,1.0,0.0,46.0,0,0.0,1.0,0.0,0,1,36,0.0,0.0,1.0,0.0,0,2,3,2,3,6,1.49,97.98552534590883,1.0,0.0,0.0,120.52021
1,1,33.0,1.0,0.0,0.0,44.0,0,1.0,0.0,0.0,0,1,1,0.0,0.0,0.0,1.0,0,1,3,2,3,6,2.92,27.15526853207727,0.0,0.0,1.0,173.001
1,1,40.0,0.0,1.0,0.0,57.0,0,0.0,1.0,0.0,1,0,11,1.0,0.0,0.0,0.0,0,2,2,1,2,6,1.35,29.09590974934316,1.0,0.0,0.0,41.37351
1,4,145.0,1.0,0.0,0.0,3.0,0,0.0,1.0,0.0,0,1,3,0.0,0.0,0.0,1.0,0,3,2,2,2,6,2.56,145.0,0.0,1.0,0.0,486.07042
1,1,49.0,0.0,1.0,0.0,64.0,0,1.0,0.0,0.0,0,1,40,0.0,0.0,1.0,0.0,0,2,2,3,2,6,1.31,29.4,1.0,0.0,0.0,42.95066
3,4,148.0,0.0,0.0,1.0,14.0,0,0.0,1.0,0.0,0,1,39,1.0,0.0,0.0,0.0,0,2,2,2,2,6,1.5,120.47930546725738,0.0,0.0,1.0,275.77505
2,3,122.0,0.0,1.0,0.0,45.0,2,0.0,0.0,1.0,0,1,14,0.0,1.0,0.0,0.0,0,2,1,1,1,16,2.38,194.19807558308827,0.0,0.0,1.0,172.52638
2,2,119.0,0.0,0.0,1.0,42.0,2,1.0,0.0,0.0,0,0,38,0.0,1.0,0.0,0.0,0,3,2,3,2,16,2.21,91.431684473634,1.0,0.0,0.0,156.40266
1,1,39.0,1.0,0.0,0.0,64.0,0,0.0,0.0,1.0,1,0,22,0.0,1.0,0.0,0.0,0,2,2,2,2,6,1.66,60.8,0.0,1.0,0.0,232.50046
1,1,118.0,1.0,0.0,0.0,62.0,2,1.0,0.0,0.0,1,0,24,1.0,0.0,0.0,0.0,0,2,2,2,2,16,1.3,70.2,0.0,0.0,1.0,261.09034
2,3,109.0,0.0,0.0,1.0,38.0,0,0.0,1.0,0.0,0,1,12,0.0,1.0,0.0,0.0,0,3,2,1,2,6,2.3,108.0,1.0,0.0,0.0,176.28976
1,2,91.0,0.0,0.0,1.0,42.0,0,0.0,1.0,0.0,0,1,18,1.0,0.0,0.0,0.0,0,3,1,1,2,6,2.09,91.0,0.0,1.0,0.0,232.83473
4,3,133.0,0.0,1.0,0.0,65.0,2,0.0,0.0,1.0,0,1,31,1.0,0.0,0.0,0.0,0,2,3,2,2,16,3.06,212.8,0.0,0.0,1.0,197.74485
3,3,125.0,1.0,0.0,0.0,50.0,3,0.0,0.0,1.0,0,1,47,0.0,0.0,1.0,0.0,0,2,1,3,2,46,2.58,201.56695009036565,1.0,0.0,0.0,417.38406
1,1,57.0,0.0,0.0,1.0,31.0,2,0.0,0.0,1.0,0,0,31,1.0,0.0,0.0,0.0,0,2,2,3,1,16,2.75,91.00179068723556,0.0,0.0,1.0,152.4031
1,1,66.0,0.0,0.0,1.0,47.0,2,1.0,0.0,0.0,0,0,37,0.0,0.0,0.0,1.0,0,2,2,2,2,16,2.57,39.6,1.0,0.0,0.0,95.72486
3,1,109.0,0.0,1.0,0.0,56.0,0,1.0,0.0,0.0,0,0,34,1.0,0.0,0.0,0.0,0,2,3,1,2,6,2.0,79.66004239703875,1.0,0.0,0.0,67.77262
2,1,80.0,1.0,0.0,0.0,43.0,0,1.0,0.0,0.0,1,1,24,1.0,0.0,0.0,0.0,0,3,1,2,2,6,1.75,68.27086628587831,0.0,1.0,0.0,316.28369
1,5,148.0,0.0,1.0,0.0,26.0,1,1.0,0.0,0.0,1,1,4,0.0,0.0,1.0,0.0,0,3,2,1,3,14,2.81,114.42840076713088,0.0,0.0,1.0,176.04793
